Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
BANKNIFTY,100,100,10.87,-2.67,6.66,-0.43,7.31,-3.28,5.19,5,10,-4.24,6.73,0.64,-0.86,0.06,108,68,25,17
BANKNIFTY,100,110,13.34,-0.41,6.26,-0.24,7.73,-3.29,5.02,9,8,-6.26,5.61,0.65,-0.78,0.08,105,71,26,16
BANKNIFTY,100,120,16.54,0.35,8.4,-0.12,7.9,-3.29,4.84,8,11,-5.44,5.45,0.66,-0.82,0.09,109,67,25,17
BANKNIFTY,100,130,23.33,1.82,13.04,-0.46,8.95,-3.29,4.63,6,12,-4.97,9.21,0.64,-0.83,0.13,115,61,26,16
BANKNIFTY,100,140,24.62,0.37,14.16,1.32,8.77,-3.29,4.59,6,12,-5.21,9.21,0.64,-0.85,0.14,117,59,28,14
BANKNIFTY,100,150,29.02,0.78,14.39,5.46,8.39,-3.9,4.59,6,12,-5.0,9.21,0.64,-0.82,0.16,119,57,29,13
BANKNIFTY,100,160,28.75,1.81,13.35,5.48,8.12,-3.9,4.46,6,12,-3.9,9.21,0.62,-0.79,0.16,119,57,27,15
BANKNIFTY,100,170,31.71,2.77,14.3,7.06,7.58,-4.08,4.3,5,12,-4.08,9.21,0.61,-0.75,0.18,120,56,29,13
BANKNIFTY,100,180,31.57,2.54,14.21,7.89,6.94,-4.17,4.01,5,12,-4.17,9.21,0.61,-0.77,0.18,121,55,28,14
BANKNIFTY,100,190,29.06,1.59,13.87,7.39,6.21,-4.11,3.68,5,12,-4.11,9.21,0.63,-0.8,0.17,119,57,27,15
BANKNIFTY,100,200,29.65,0.92,14.34,8.51,5.89,-3.88,3.65,5,12,-3.88,9.21,0.62,-0.79,0.17,120,56,27,15
BANKNIFTY,100,50,8.02,8.88,6.45,-10.88,3.58,-3.85,6.15,6,7,-7.54,6.15,0.96,-0.91,0.05,90,86,21,21
BANKNIFTY,100,60,13.97,6.97,11.99,-8.51,3.52,-3.97,6.03,5,10,-4.89,7.68,0.83,-0.96,0.08,102,74,24,18
BANKNIFTY,100,70,10.3,3.84,7.44,-4.9,3.92,-3.97,5.73,6,10,-5.32,8.19,0.77,-1.0,0.06,105,71,23,19
BANKNIFTY,100,80,11.77,4.11,6.46,-4.04,5.25,-3.97,5.47,6,10,-5.59,7.15,0.73,-0.98,0.07,108,68,22,20
BANKNIFTY,100,90,9.31,0.22,5.36,-2.96,6.68,-3.54,5.45,5,10,-5.1,6.65,0.69,-0.87,0.05,104,72,23,19
BANKNIFTY,110,100,11.42,-3.61,6.99,1.01,7.02,-3.28,5.19,5,8,-4.72,6.09,0.65,-0.78,0.06,104,72,23,19
BANKNIFTY,110,110,13.89,-1.35,6.6,1.2,7.45,-3.29,5.02,9,8,-6.5,5.7,0.65,-0.74,0.08,104,72,26,16
BANKNIFTY,110,120,17.09,-0.59,8.74,1.33,7.62,-3.29,4.84,9,11,-5.52,5.54,0.65,-0.77,0.1,107,69,24,18
BANKNIFTY,110,130,23.89,0.87,13.37,0.98,8.66,-3.29,4.63,7,11,-5.21,8.46,0.65,-0.76,0.14,112,64,24,18
BANKNIFTY,110,140,25.17,-0.57,14.5,2.77,8.48,-3.29,4.59,7,11,-5.79,8.46,0.65,-0.76,0.14,113,63,27,15
BANKNIFTY,110,150,29.58,-0.16,14.72,6.91,8.1,-3.9,4.59,8,12,-5.77,8.46,0.65,-0.74,0.17,115,61,27,15
BANKNIFTY,110,160,29.31,0.87,13.69,6.92,7.83,-3.9,4.46,8,12,-3.9,8.46,0.63,-0.71,0.17,115,61,26,16
BANKNIFTY,110,170,32.27,1.83,14.64,8.51,7.29,-4.08,4.3,7,12,-4.08,8.46,0.62,-0.66,0.18,116,60,27,15
BANKNIFTY,110,180,32.13,1.6,14.55,9.33,6.65,-4.17,4.01,7,12,-4.17,8.46,0.62,-0.68,0.18,117,59,28,14
BANKNIFTY,110,190,29.62,0.65,14.21,8.84,5.92,-4.11,3.68,7,12,-4.11,8.6,0.63,-0.7,0.17,115,61,28,14
BANKNIFTY,110,200,30.21,-0.03,14.68,9.95,5.6,-3.88,3.65,7,12,-3.88,8.58,0.62,-0.7,0.17,116,60,28,14
BANKNIFTY,110,50,8.58,7.94,6.78,-9.43,3.29,-3.94,6.15,5,7,-7.57,6.15,0.92,-0.98,0.05,95,81,21,21
BANKNIFTY,110,60,14.53,6.03,12.33,-7.06,3.23,-4.05,6.03,5,9,-5.39,6.92,0.82,-0.96,0.08,103,73,23,19
BANKNIFTY,110,70,10.86,2.9,7.77,-3.45,3.63,-4.05,5.73,5,9,-4.86,7.43,0.76,-1.0,0.06,106,70,24,18
BANKNIFTY,110,80,12.33,3.16,6.8,-2.59,4.96,-4.05,5.47,5,9,-5.66,6.39,0.72,-0.94,0.07,107,69,23,19
BANKNIFTY,110,90,9.86,-0.72,5.7,-1.51,6.4,-3.62,5.45,5,9,-4.92,6.03,0.67,-0.86,0.06,105,71,24,18
