Underlying,Call TSL,Put TSL,Total Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
FINNIFTY,100,100,49.96,41.04,8.92,-13.17,16.11,1,11,-13.17,18.27,1.78,-3.27,1.04,41,7,16,2
FINNIFTY,100,110,50.2,41.39,8.8,-13.18,15.83,1,12,-13.18,17.98,1.72,-3.66,1.05,42,6,16,2
FINNIFTY,100,120,49.81,41.12,8.69,-13.19,15.79,1,12,-13.19,17.94,1.7,-3.6,1.04,42,6,16,2
FINNIFTY,100,130,49.13,40.45,8.68,-13.26,15.57,1,12,-13.26,17.73,1.68,-3.6,1.02,42,6,16,2
FINNIFTY,100,140,48.49,40.04,8.45,-13.26,15.49,1,12,-13.26,17.65,1.67,-3.6,1.01,42,6,16,2
FINNIFTY,100,150,47.0,38.82,8.18,-13.23,15.35,1,12,-13.23,17.5,1.63,-3.59,0.98,42,6,16,2
FINNIFTY,100,160,45.91,37.96,7.96,-13.3,15.12,1,12,-13.3,17.27,1.65,-3.1,0.96,41,7,16,2
FINNIFTY,100,170,46.01,38.36,7.65,-13.3,15.1,1,12,-13.3,17.25,1.61,-3.6,0.96,42,6,16,2
FINNIFTY,100,180,46.0,38.5,7.5,-13.34,15.0,1,12,-13.34,17.15,1.61,-3.61,0.96,42,6,16,2
FINNIFTY,100,190,45.78,38.11,7.67,-13.34,14.92,1,12,-13.34,17.07,1.61,-3.61,0.95,42,6,16,2
FINNIFTY,100,200,44.91,37.33,7.58,-13.41,14.74,1,12,-13.41,16.89,1.59,-3.62,0.94,42,6,16,2
FINNIFTY,100,50,43.3,40.9,2.4,-13.67,16.54,2,11,-14.33,18.7,2.2,-2.24,0.9,34,14,15,3
FINNIFTY,100,60,46.24,42.48,3.76,-13.21,16.5,2,11,-13.59,18.65,2.02,-2.6,0.96,37,11,15,3
