Underlying,Call TSL,Put TSL,Total Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
FINNIFTY,100,100,5.37,7.21,-1.84,-3.03,4.05,4,7,-5.24,5.55,0.96,-1.09,0.07,42,32,13,5
FINNIFTY,100,110,10.83,10.23,0.6,-2.35,4.05,4,7,-5.33,6.99,1.0,-0.91,0.15,41,33,15,3
FINNIFTY,100,120,10.74,9.36,1.38,-2.35,4.05,4,7,-5.82,7.1,1.04,-0.9,0.15,40,34,14,4
FINNIFTY,100,130,8.53,8.23,0.3,-2.35,4.05,6,7,-6.82,7.13,1.08,-0.9,0.12,38,36,13,5
FINNIFTY,100,140,10.55,10.39,0.16,-2.35,4.05,6,9,-7.22,8.44,1.09,-0.91,0.14,39,35,13,5
FINNIFTY,100,150,9.01,9.02,-0.02,-2.35,4.05,6,9,-7.71,8.32,1.05,-0.97,0.12,40,34,12,6
FINNIFTY,100,160,13.62,10.43,3.19,-2.54,4.05,6,9,-6.63,8.26,1.15,-0.95,0.18,40,34,12,6
FINNIFTY,100,170,11.07,8.47,2.6,-2.64,4.05,6,9,-6.93,8.19,1.11,-1.04,0.15,41,33,12,6
FINNIFTY,100,180,11.98,8.37,3.61,-2.74,4.05,4,9,-5.95,7.76,1.12,-1.09,0.16,42,32,12,6
FINNIFTY,100,190,16.1,12.41,3.68,-2.75,4.43,4,9,-5.33,7.7,1.19,-1.13,0.22,43,31,11,7
FINNIFTY,100,200,16.94,14.05,2.89,-2.88,4.43,4,9,-5.61,8.86,1.22,-1.15,0.23,43,31,11,7
FINNIFTY,100,50,-2.67,-0.18,-2.48,-3.09,4.05,5,5,-7.22,6.91,1.35,-1.15,-0.04,33,41,10,8
FINNIFTY,100,60,-1.91,2.71,-4.63,-3.14,4.05,5,4,-7.96,4.61,1.25,-1.11,-0.03,34,40,12,6
FINNIFTY,100,70,-3.01,3.63,-6.64,-2.72,4.05,5,4,-7.14,4.49,1.19,-1.09,-0.04,34,40,11,7
FINNIFTY,100,80,1.78,6.52,-4.74,-2.83,4.05,5,4,-7.03,4.9,1.14,-0.97,0.02,35,39,11,7
FINNIFTY,100,90,3.02,7.47,-4.45,-3.03,4.05,4,5,-6.01,5.51,1.01,-1.1,0.04,40,34,12,6
FINNIFTY,110,100,5.0,5.97,-0.97,-2.97,3.96,3,7,-4.43,5.81,1.02,-1.12,0.07,41,33,10,8
FINNIFTY,110,110,10.46,8.99,1.47,-2.5,3.96,4,7,-4.24,7.25,1.04,-0.97,0.14,41,33,13,5
FINNIFTY,110,120,10.37,8.12,2.25,-2.5,3.96,4,7,-5.0,7.36,1.04,-0.97,0.14,41,33,12,6
FINNIFTY,110,130,8.16,6.99,1.17,-2.5,3.96,4,7,-4.43,7.39,1.1,-0.93,0.11,38,36,12,6
FINNIFTY,110,140,10.18,9.15,1.04,-2.5,3.96,4,9,-3.8,8.67,1.12,-0.9,0.14,38,36,11,7
FINNIFTY,110,150,8.64,7.78,0.86,-2.5,3.96,4,9,-4.23,8.56,1.09,-0.97,0.12,39,35,11,7
FINNIFTY,110,160,13.25,9.18,4.06,-2.5,3.96,4,9,-3.34,8.49,1.19,-0.95,0.18,39,35,10,8
FINNIFTY,110,170,10.7,7.23,3.47,-2.5,3.96,4,9,-3.48,8.43,1.15,-1.04,0.14,40,34,10,8
FINNIFTY,110,180,11.61,7.13,4.49,-2.69,3.96,3,9,-3.69,8.0,1.15,-1.08,0.16,41,33,10,8
FINNIFTY,110,190,15.73,11.17,4.56,-2.7,4.36,3,9,-3.7,7.94,1.22,-1.12,0.21,42,32,10,8
FINNIFTY,110,200,16.57,12.8,3.77,-2.89,4.36,3,8,-3.89,9.13,1.29,-1.1,0.22,41,33,11,7
FINNIFTY,110,50,-3.04,-1.43,-1.61,-2.81,3.96,5,5,-7.59,7.54,1.33,-1.28,-0.04,35,39,10,8
FINNIFTY,110,60,-2.28,1.47,-3.75,-2.79,3.96,5,5,-8.32,6.69,1.22,-1.22,-0.03,36,38,10,8
FINNIFTY,110,70,-3.38,2.38,-5.76,-2.87,3.96,4,5,-7.34,5.36,1.15,-1.18,-0.05,36,38,9,9
FINNIFTY,110,80,1.41,5.27,-3.86,-2.86,3.96,4,5,-7.23,4.8,1.08,-1.1,0.02,38,36,9,9
FINNIFTY,110,90,2.66,6.23,-3.57,-2.97,3.96,4,5,-6.21,5.77,1.07,-1.12,0.04,39,35,9,9
FINNIFTY,120,100,-0.6,2.07,-2.67,-2.93,3.91,3,7,-4.88,5.53,1.0,-1.34,-0.01,42,32,8,10
FINNIFTY,120,110,4.86,5.09,-0.23,-2.93,3.91,3,7,-4.61,6.96,1.01,-1.18,0.07,42,32,9,9
FINNIFTY,120,120,4.77,4.22,0.55,-2.93,3.91,3,7,-4.67,7.07,0.99,-1.15,0.06,42,32,10,8
FINNIFTY,120,130,2.56,3.1,-0.53,-2.93,3.91,4,7,-4.1,7.1,1.04,-1.08,0.03,39,35,8,10
FINNIFTY,120,140,4.58,5.25,-0.67,-2.93,3.91,4,9,-3.91,7.91,1.05,-1.03,0.06,39,35,9,9
FINNIFTY,120,150,3.04,3.88,-0.84,-2.93,3.91,4,9,-4.38,7.79,1.01,-1.1,0.04,40,34,9,9
FINNIFTY,120,160,7.65,5.29,2.36,-2.93,3.91,4,9,-3.75,7.73,1.11,-1.09,0.1,40,34,9,9
FINNIFTY,120,170,5.1,3.33,1.77,-2.93,3.91,4,9,-3.85,7.66,1.1,-1.14,0.07,40,34,9,9
FINNIFTY,120,180,6.01,3.23,2.78,-2.93,3.91,4,6,-3.84,6.79,1.18,-1.08,0.08,38,36,10,8
FINNIFTY,120,190,10.13,7.27,2.85,-2.93,4.16,4,6,-3.84,6.79,1.25,-1.1,0.14,39,35,10,8
FINNIFTY,120,200,10.97,8.91,2.07,-3.06,4.15,4,8,-3.99,8.54,1.25,-1.15,0.15,40,34,10,8
FINNIFTY,120,50,-8.64,-5.32,-3.31,-3.24,3.91,5,5,-8.13,7.62,1.4,-1.41,-0.12,34,40,9,9
FINNIFTY,120,60,-7.88,-2.43,-5.46,-3.22,3.91,5,5,-8.87,6.77,1.37,-1.29,-0.11,33,41,9,9
FINNIFTY,120,70,-8.98,-1.51,-7.47,-3.3,3.91,5,5,-7.73,5.44,1.2,-1.31,-0.12,35,39,7,11
FINNIFTY,120,80,-4.19,1.38,-5.57,-3.29,3.91,4,5,-7.42,4.51,1.09,-1.26,-0.06,38,36,8,10
FINNIFTY,120,90,-2.94,2.33,-5.28,-3.23,3.91,4,5,-6.4,5.51,1.05,-1.33,-0.04,40,34,8,10
FINNIFTY,130,100,0.59,2.23,-1.64,-3.16,3.86,3,7,-5.18,5.93,1.05,-1.44,0.01,43,31,7,11
FINNIFTY,130,110,6.06,5.25,0.81,-3.16,3.86,3,7,-5.0,6.58,1.06,-1.27,0.08,43,31,10,8
FINNIFTY,130,120,5.97,4.38,1.58,-3.16,3.86,3,7,-5.07,6.69,1.02,-1.22,0.08,43,31,8,10
FINNIFTY,130,130,3.76,3.25,0.5,-3.16,3.86,4,7,-4.5,6.72,1.05,-1.13,0.05,40,34,8,10
FINNIFTY,130,140,5.78,5.41,0.37,-3.16,3.86,4,9,-4.33,7.53,0.99,-1.13,0.08,42,32,10,8
FINNIFTY,130,150,4.23,4.04,0.19,-3.16,3.86,4,9,-4.8,7.41,0.96,-1.19,0.06,43,31,9,9
FINNIFTY,130,160,8.84,5.45,3.4,-3.16,3.86,4,9,-3.9,7.35,1.16,-1.04,0.12,39,35,9,9
FINNIFTY,130,170,6.3,3.49,2.8,-3.16,3.86,4,9,-4.0,7.29,1.16,-1.05,0.09,38,36,9,9
FINNIFTY,130,180,7.21,3.39,3.82,-3.16,3.86,5,6,-3.99,6.39,1.2,-1.07,0.1,38,36,10,8
FINNIFTY,130,190,11.32,7.43,3.89,-3.16,4.03,5,6,-3.99,6.43,1.27,-1.09,0.15,39,35,10,8
FINNIFTY,130,200,12.16,9.07,3.1,-3.16,4.03,5,8,-3.97,8.13,1.27,-1.13,0.16,40,34,10,8
FINNIFTY,130,50,-7.44,-5.16,-2.28,-3.47,3.91,4,5,-8.26,8.05,1.5,-1.54,-0.1,35,39,8,10
FINNIFTY,130,60,-6.69,-2.27,-4.42,-3.45,3.86,4,5,-6.26,7.2,1.42,-1.45,-0.09,35,39,8,10
FINNIFTY,130,70,-7.78,-1.35,-6.43,-3.53,3.86,4,5,-6.05,5.87,1.28,-1.42,-0.11,36,38,7,11
FINNIFTY,130,80,-2.99,1.54,-4.53,-3.52,3.86,4,5,-6.01,4.72,1.18,-1.32,-0.04,38,36,8,10
FINNIFTY,130,90,-1.75,2.49,-4.24,-3.46,3.86,3,5,-5.28,5.91,1.1,-1.42,-0.02,41,33,7,11
FINNIFTY,140,100,-3.19,-0.44,-2.75,-3.18,3.95,3,5,-5.4,5.57,1.09,-1.45,-0.04,41,33,7,11
FINNIFTY,140,110,2.27,2.58,-0.31,-3.18,3.94,3,7,-5.25,6.26,1.07,-1.33,0.03,42,32,8,10
FINNIFTY,140,120,2.18,1.71,0.47,-3.18,3.83,3,7,-5.31,6.38,1.0,-1.32,0.03,43,31,8,10
FINNIFTY,140,130,-0.03,0.58,-0.61,-3.18,3.58,4,7,-4.75,6.41,1.04,-1.22,-0.0,40,34,7,11
FINNIFTY,140,140,1.99,2.74,-0.75,-3.18,3.48,4,9,-4.74,7.22,0.98,-1.22,0.03,42,32,9,9
FINNIFTY,140,150,0.45,1.37,-0.92,-3.18,3.46,4,9,-5.21,7.1,0.94,-1.29,0.01,43,31,9,9
FINNIFTY,140,160,5.06,2.78,2.28,-3.18,3.46,4,9,-4.09,7.03,1.14,-1.13,0.07,39,35,9,9
FINNIFTY,140,170,2.51,0.82,1.69,-3.18,3.46,4,9,-4.19,6.97,1.15,-1.14,0.03,38,36,9,9
FINNIFTY,140,180,3.42,0.72,2.7,-3.18,3.46,5,6,-4.18,6.02,1.18,-1.15,0.05,38,36,10,8
FINNIFTY,140,190,7.54,4.76,2.78,-3.18,3.86,5,6,-4.18,6.26,1.25,-1.17,0.1,39,35,10,8
