Underlying,Call HSL,Put HSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,-0.87,10.73,-0.34,-21.23,9.96,-5.94,2.26,7,9,-11.57,12.72,0.91,-1.06,-0.0,96,83,22,20
NIFTY,100,110,-0.8,12.77,-0.77,-21.67,8.88,-6.03,2.26,10,9,-9.95,13.01,0.95,-1.01,-0.0,92,87,22,20
NIFTY,100,120,1.93,15.9,-2.45,-18.82,7.31,-6.39,2.26,9,9,-10.36,12.67,0.91,-1.1,0.01,99,80,22,20
NIFTY,100,130,4.3,17.01,-1.97,-16.57,5.83,-6.39,2.32,7,8,-9.72,12.14,0.92,-1.13,0.02,101,78,23,19
NIFTY,100,140,5.91,16.23,-2.29,-16.22,8.19,-6.81,2.32,6,8,-8.42,11.94,0.93,-1.18,0.03,103,76,22,20
NIFTY,100,150,10.98,15.78,2.35,-16.22,9.08,-6.91,2.32,6,9,-9.31,11.76,0.93,-1.14,0.06,104,75,22,20
NIFTY,100,160,10.91,16.14,1.87,-16.28,9.19,-6.94,2.32,6,9,-9.77,12.26,0.93,-1.2,0.06,106,73,21,21
NIFTY,100,170,16.31,15.37,5.96,-14.59,9.57,-7.25,2.32,5,9,-8.86,12.94,0.93,-1.16,0.09,107,72,22,20
NIFTY,100,180,15.19,14.59,6.24,-14.89,9.26,-7.6,2.32,5,9,-9.21,12.95,0.94,-1.21,0.08,108,71,22,20
NIFTY,100,190,14.8,13.6,6.78,-14.11,8.53,-7.79,2.32,5,9,-9.39,12.95,0.95,-1.24,0.08,108,71,20,22
NIFTY,100,200,16.11,14.44,6.63,-13.27,8.31,-7.79,2.32,5,9,-9.39,12.95,0.95,-1.22,0.09,108,71,20,22
NIFTY,100,50,-0.04,9.4,0.45,-12.54,2.65,-6.91,2.83,6,6,-6.91,6.93,0.94,-1.16,-0.0,99,80,20,22
NIFTY,100,60,5.9,10.51,1.98,-12.4,5.8,-6.98,2.83,6,8,-6.98,12.0,0.88,-1.19,0.03,106,73,23,19
NIFTY,100,70,6.08,11.12,1.68,-16.18,9.46,-5.48,2.83,4,8,-7.3,13.25,0.9,-1.14,0.03,103,76,22,20
NIFTY,100,80,0.39,8.1,2.1,-20.39,10.58,-5.48,2.83,4,8,-7.08,13.39,0.87,-1.15,0.0,102,77,22,20
NIFTY,100,90,-0.12,10.55,-0.18,-21.83,11.34,-5.77,2.28,4,8,-7.38,12.71,0.89,-1.11,-0.0,99,80,23,19
NIFTY,110,100,-4.03,11.12,-1.98,-22.65,9.48,-6.12,2.26,7,9,-12.09,12.76,0.94,-1.04,-0.02,92,87,21,21
NIFTY,110,110,-3.95,13.15,-2.42,-23.09,8.4,-6.22,2.26,10,9,-10.47,13.05,0.98,-0.99,-0.02,88,91,23,19
NIFTY,110,120,-1.22,16.29,-4.09,-20.24,6.82,-6.57,2.26,9,9,-10.49,12.71,0.94,-1.08,-0.01,95,84,23,19
NIFTY,110,130,1.14,17.4,-3.62,-17.99,5.35,-6.57,2.32,7,8,-10.0,12.18,0.95,-1.11,0.01,97,82,23,19
NIFTY,110,140,2.75,16.61,-3.93,-17.64,7.71,-7.0,2.32,6,8,-8.62,11.98,0.96,-1.15,0.02,99,80,22,20
