Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,130.74,60.95,28.87,27.94,12.99,-2.4,42.88,3,20,-2.4,48.19,1.29,-0.89,1.03,112,15,37,5
NIFTY,100,110,134.68,60.39,27.65,32.49,14.15,-2.4,42.88,2,40,-2.4,49.84,1.25,-0.73,1.06,115,12,38,4
NIFTY,100,120,131.42,58.93,27.13,31.67,13.69,-2.44,42.88,3,40,-2.44,49.48,1.23,-0.7,1.03,114,13,38,4
NIFTY,100,130,131.45,58.72,26.86,31.65,14.23,-2.52,42.88,2,40,-2.52,49.37,1.23,-0.7,1.04,114,13,37,5
NIFTY,100,140,130.4,58.23,25.82,32.14,14.21,-2.59,42.88,2,40,-2.59,49.49,1.23,-0.76,1.03,114,13,37,5
NIFTY,100,150,131.36,58.63,25.09,32.43,15.21,-2.68,42.88,2,40,-2.68,48.54,1.23,-0.68,1.03,114,13,38,4
NIFTY,100,160,129.56,58.18,23.76,31.93,15.68,-2.98,42.88,2,40,-2.98,48.54,1.2,-0.86,1.02,116,11,38,4
NIFTY,100,170,128.46,57.85,23.0,31.72,15.89,-3.04,42.88,2,40,-3.04,48.54,1.19,-0.88,1.01,116,11,38,4
NIFTY,100,180,127.88,57.92,22.42,31.61,15.92,-3.23,42.88,2,40,-3.23,49.72,1.18,-0.97,1.01,117,10,38,4
NIFTY,100,190,127.53,58.97,21.73,31.05,15.78,-3.41,42.88,2,40,-3.41,49.93,1.16,-1.01,1.0,118,9,38,4
NIFTY,100,200,126.44,58.74,20.95,30.99,15.76,-3.66,42.88,2,40,-3.66,49.99,1.15,-1.05,1.0,118,9,38,4
NIFTY,100,50,121.6,58.55,27.6,25.91,9.53,-2.66,42.88,3,16,-2.82,44.22,1.65,-0.72,0.96,90,37,31,11
NIFTY,100,60,120.81,57.7,26.45,26.09,10.57,-2.78,42.88,3,10,-2.95,44.0,1.55,-0.82,0.95,95,32,31,11
NIFTY,100,70,126.64,59.92,30.93,24.15,11.63,-2.41,42.88,3,10,-3.09,43.79,1.44,-0.79,1.0,102,25,34,8
NIFTY,100,80,126.72,60.83,29.94,23.16,12.8,-2.4,42.88,3,13,-3.64,48.12,1.41,-0.76,1.0,103,24,34,8
NIFTY,100,90,127.47,61.6,29.18,24.27,12.43,-2.4,42.88,3,19,-4.19,48.12,1.34,-0.79,1.0,107,20,37,5
NIFTY,110,100,128.9,60.08,29.2,27.01,12.6,-2.45,42.88,3,19,-2.45,47.89,1.28,-0.84,1.01,111,16,38,4
NIFTY,110,110,132.84,59.52,27.99,31.57,13.76,-2.47,42.88,2,40,-2.47,49.34,1.24,-0.77,1.05,115,12,37,5
NIFTY,110,120,129.58,58.06,27.46,30.75,13.3,-2.7,42.88,3,40,-2.7,48.98,1.22,-0.73,1.02,114,13,37,5
NIFTY,110,130,129.61,57.85,27.2,30.72,13.84,-2.79,42.88,2,40,-2.79,48.87,1.21,-0.78,1.02,115,12,37,5
NIFTY,110,140,128.56,57.36,26.15,31.22,13.83,-2.85,42.88,2,40,-2.85,48.99,1.21,-0.85,1.01,115,12,37,5
NIFTY,110,150,129.52,57.76,25.42,31.51,14.82,-2.95,42.88,2,40,-2.95,48.23,1.21,-0.77,1.02,115,12,38,4
NIFTY,110,160,127.71,57.32,24.1,31.01,15.29,-3.24,42.88,2,40,-3.24,48.23,1.17,-0.97,1.01,117,10,38,4
NIFTY,110,170,126.62,56.98,23.34,30.8,15.5,-3.31,42.88,2,40,-3.31,48.23,1.17,-0.99,1.0,117,10,38,4
NIFTY,110,180,126.04,57.05,22.76,30.69,15.54,-3.5,42.88,2,40,-3.5,49.22,1.15,-1.1,0.99,118,9,38,4
NIFTY,110,190,125.69,58.1,22.06,30.13,15.4,-3.67,42.88,2,40,-3.67,49.43,1.13,-1.17,0.99,119,8,38,4
NIFTY,110,200,124.59,57.87,21.29,30.06,15.37,-3.93,42.88,2,40,-3.93,49.49,1.13,-1.21,0.98,119,8,38,4
NIFTY,110,50,119.75,57.69,27.94,24.98,9.15,-2.66,42.88,3,16,-2.82,44.22,1.62,-0.72,0.94,90,37,31,11
NIFTY,110,60,118.97,56.83,26.79,25.17,10.18,-2.78,42.88,3,10,-2.78,44.0,1.53,-0.82,0.94,95,32,31,11
NIFTY,110,70,124.8,59.05,31.27,23.23,11.25,-2.41,42.88,3,10,-3.06,43.79,1.42,-0.79,0.98,102,25,34,8
NIFTY,110,80,124.88,59.96,30.28,22.23,12.41,-2.4,42.88,3,13,-3.61,47.82,1.39,-0.76,0.98,103,24,34,8
NIFTY,110,90,125.63,60.73,29.52,23.34,12.04,-2.4,42.88,3,19,-4.16,47.82,1.32,-0.8,0.99,107,20,37,5
NIFTY,120,100,127.78,61.36,28.34,26.11,11.98,-2.4,42.88,3,20,-2.4,47.74,1.27,-0.8,1.01,111,16,38,4
NIFTY,120,110,131.72,60.8,27.12,30.66,13.14,-2.4,42.88,2,40,-2.4,49.06,1.23,-0.66,1.04,114,13,37,5
NIFTY,120,120,128.46,59.35,26.59,29.84,12.68,-2.4,42.88,3,40,-2.4,48.7,1.22,-0.64,1.01,113,14,37,5
NIFTY,120,130,128.49,59.13,26.33,29.82,13.21,-2.4,42.88,2,40,-2.4,48.59,1.2,-0.67,1.01,114,13,37,5
NIFTY,120,140,127.44,58.64,25.29,30.31,13.2,-2.4,42.88,2,40,-2.4,48.71,1.2,-0.73,1.0,114,13,36,6
NIFTY,120,150,128.4,59.05,24.56,30.6,14.2,-2.4,42.88,2,40,-2.4,48.08,1.2,-0.65,1.01,114,13,38,4
NIFTY,120,160,126.6,58.6,23.23,30.1,14.67,-2.4,42.88,2,40,-2.4,48.08,1.18,-0.74,1.0,115,12,38,4
NIFTY,120,170,125.51,58.27,22.47,29.89,14.88,-2.4,42.88,2,40,-2.4,48.08,1.17,-0.76,0.99,115,12,38,4
NIFTY,120,180,124.92,58.34,21.89,29.78,14.91,-2.4,42.88,2,40,-2.4,48.94,1.16,-0.82,0.98,116,11,38,4
NIFTY,120,190,124.57,59.38,21.2,29.22,14.77,-2.4,42.88,2,40,-2.4,49.15,1.14,-0.85,0.98,117,10,38,4
NIFTY,120,200,123.48,59.15,20.42,29.16,14.75,-2.4,42.88,2,40,-2.4,49.2,1.13,-0.88,0.97,117,10,38,4
NIFTY,120,50,118.64,58.97,27.07,24.08,8.52,-2.66,42.88,4,16,-2.82,44.22,1.64,-0.65,0.93,88,39,31,11
NIFTY,120,60,117.85,58.11,25.92,24.26,9.56,-2.78,42.88,2,10,-2.78,44.0,1.5,-0.78,0.93,95,32,31,11
NIFTY,120,70,123.68,60.33,30.4,22.32,10.62,-2.41,42.88,3,10,-2.99,43.79,1.41,-0.72,0.97,101,26,36,6
NIFTY,120,80,123.77,61.24,29.41,21.33,11.78,-2.4,42.88,3,13,-3.54,47.67,1.4,-0.67,0.97,101,26,35,7
NIFTY,120,90,124.51,62.01,28.65,22.44,11.41,-2.4,42.88,3,19,-4.09,47.67,1.32,-0.72,0.98,106,21,37,5
NIFTY,130,100,127.28,62.12,28.92,25.2,11.04,-2.4,42.88,3,20,-2.4,47.44,1.24,-0.8,1.0,112,15,40,2
NIFTY,130,110,131.22,61.56,27.71,29.76,12.2,-2.4,42.88,2,40,-2.4,48.86,1.21,-0.64,1.03,115,12,39,3
NIFTY,130,120,127.96,60.1,27.18,28.94,11.74,-2.4,42.88,3,40,-2.4,48.49,1.2,-0.56,1.01,113,14,39,3
NIFTY,130,130,127.99,59.89,26.91,28.91,12.28,-2.4,42.88,2,40,-2.4,48.39,1.19,-0.57,1.01,114,13,38,4
NIFTY,130,140,126.94,59.4,25.87,29.4,12.26,-2.4,42.88,2,40,-2.4,48.5,1.19,-0.63,1.0,114,13,38,4
NIFTY,130,150,127.9,59.8,25.14,29.7,13.26,-2.4,42.88,2,40,-2.4,47.79,1.19,-0.55,1.01,114,13,40,2
NIFTY,130,160,126.1,59.36,23.82,29.2,13.73,-2.4,42.88,2,40,-2.4,47.79,1.16,-0.63,0.99,115,12,39,3
NIFTY,130,170,125.01,59.02,23.06,28.98,13.94,-2.4,42.88,2,40,-2.4,47.79,1.15,-0.65,0.98,115,12,39,3
NIFTY,130,180,124.42,59.09,22.48,28.88,13.97,-2.4,42.88,2,40,-2.4,48.73,1.14,-0.7,0.98,116,11,39,3
NIFTY,130,190,124.07,60.14,21.78,28.31,13.83,-2.4,42.88,2,40,-2.4,48.94,1.12,-0.71,0.98,117,10,39,3
NIFTY,130,200,122.98,59.91,21.0,28.25,13.81,-2.4,42.88,2,40,-2.4,49.0,1.12,-0.75,0.97,117,10,39,3
NIFTY,130,50,118.14,59.72,27.66,23.17,7.58,-2.66,42.88,3,16,-2.82,44.22,1.61,-0.66,0.93,89,38,33,9
NIFTY,130,60,117.35,58.87,26.5,23.36,8.62,-2.78,42.88,3,11,-2.78,44.0,1.49,-0.76,0.92,95,32,33,9
NIFTY,130,70,123.18,61.09,30.99,21.42,9.68,-2.41,42.88,3,11,-2.92,43.79,1.4,-0.7,0.97,101,26,37,5
NIFTY,130,80,123.27,62.0,30.0,20.42,10.85,-2.4,42.88,3,13,-3.46,47.37,1.37,-0.66,0.97,102,25,37,5
NIFTY,130,90,124.01,62.77,29.23,21.53,10.48,-2.4,42.88,3,19,-4.01,47.37,1.29,-0.72,0.98,107,20,39,3
NIFTY,140,100,127.58,61.64,29.55,25.81,10.58,-2.4,42.88,2,33,-2.4,47.21,1.21,-0.84,1.0,114,13,40,2
NIFTY,140,110,131.52,61.08,28.34,30.37,11.74,-2.4,42.88,1,54,-2.4,48.59,1.18,-0.66,1.04,117,10,38,4
NIFTY,140,120,128.26,59.63,27.81,29.55,11.28,-2.4,42.88,2,54,-2.4,48.23,1.17,-0.57,1.01,115,12,38,4
NIFTY,140,130,128.3,59.41,27.55,29.52,11.81,-2.4,42.88,1,54,-2.4,48.12,1.16,-0.57,1.01,116,11,38,4
NIFTY,140,140,127.24,58.92,26.51,30.01,11.8,-2.4,42.88,1,54,-2.4,48.24,1.16,-0.64,1.0,116,11,38,4
NIFTY,140,150,128.2,59.33,25.77,30.3,12.8,-2.4,42.88,1,54,-2.4,47.55,1.16,-0.55,1.01,116,11,39,3
NIFTY,140,160,126.4,58.88,24.45,29.8,13.27,-2.4,42.88,1,54,-2.4,47.55,1.14,-0.64,1.0,117,10,39,3
NIFTY,140,170,125.31,58.55,23.69,29.59,13.48,-2.4,42.88,1,54,-2.4,47.55,1.13,-0.67,0.99,117,10,39,3
NIFTY,140,180,124.72,58.62,23.11,29.49,13.51,-2.4,42.88,1,54,-2.4,48.47,1.11,-0.74,0.98,118,9,39,3
NIFTY,140,190,124.37,59.66,22.42,28.92,13.37,-2.4,42.88,1,54,-2.4,48.68,1.1,-0.76,0.98,119,8,39,3
NIFTY,140,200,123.28,59.43,21.64,28.86,13.35,-2.4,42.88,1,54,-2.4,48.73,1.09,-0.8,0.97,119,8,39,3
NIFTY,140,50,118.44,59.25,28.29,23.78,7.12,-2.66,42.88,3,17,-2.82,44.22,1.55,-0.69,0.93,92,35,35,7
NIFTY,140,60,117.65,58.39,27.14,23.96,8.16,-2.78,42.88,3,12,-2.78,44.0,1.45,-0.78,0.93,97,30,35,7
NIFTY,140,70,123.48,60.61,31.62,22.03,9.22,-2.41,42.88,2,11,-2.86,43.79,1.38,-0.68,0.97,102,25,38,4
NIFTY,140,80,123.57,61.52,30.63,21.03,10.39,-2.4,42.88,2,13,-3.41,47.14,1.34,-0.67,0.97,104,23,37,5
NIFTY,140,90,124.31,62.29,29.87,22.14,10.01,-2.4,42.88,2,20,-3.96,47.14,1.26,-0.74,0.98,109,18,39,3
NIFTY,150,100,126.44,61.78,29.79,25.04,9.83,-2.4,42.88,2,23,-2.4,46.98,1.21,-0.87,1.0,114,13,39,3
NIFTY,150,110,130.38,61.22,28.58,29.59,10.99,-2.4,42.88,1,30,-2.4,48.44,1.17,-0.71,1.03,117,10,38,4
