Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,128.99,22.72,31.18,34.58,40.52,-1.71,6.49,2,41,-1.71,44.05,0.99,-0.5,0.91,134,8,44,2
NIFTY,100,110,128.5,23.44,29.6,34.67,40.79,-0.94,6.49,1,41,-0.94,43.2,0.98,-0.32,0.9,134,8,44,2
NIFTY,100,120,124.88,22.54,28.31,34.13,39.9,-0.94,6.49,1,41,-0.94,42.53,0.97,-0.32,0.88,132,10,43,3
NIFTY,100,130,124.24,22.82,27.26,34.66,39.51,-0.96,6.49,1,41,-0.96,42.59,0.94,-0.39,0.87,135,7,44,2
NIFTY,100,140,124.15,22.98,26.46,35.1,39.61,-0.94,6.49,1,41,-0.94,43.01,0.94,-0.37,0.87,135,7,44,2
NIFTY,100,150,121.53,22.42,25.44,34.93,38.73,-0.94,6.49,1,41,-0.94,42.56,0.92,-0.38,0.86,135,7,45,1
NIFTY,100,160,120.61,23.01,24.5,34.53,38.57,-0.94,6.49,1,54,-0.94,41.91,0.9,-0.3,0.85,136,6,45,1
NIFTY,100,170,118.57,22.7,24.13,34.08,37.66,-0.94,6.49,1,41,-0.94,41.39,0.9,-0.24,0.84,134,8,45,1
NIFTY,100,180,116.66,23.06,23.37,33.54,36.68,-0.94,6.49,1,41,-0.94,40.56,0.88,-0.29,0.82,135,7,45,1
NIFTY,100,190,115.18,22.81,23.1,33.12,36.15,-0.94,6.49,1,41,-0.94,39.94,0.87,-0.31,0.81,135,7,45,1
NIFTY,100,200,113.34,22.53,22.51,32.71,35.59,-0.94,6.49,1,41,-0.94,39.4,0.86,-0.33,0.8,135,7,45,1
NIFTY,100,210,113.35,22.29,22.76,32.76,35.55,-0.94,6.49,1,41,-0.94,39.22,0.86,-0.35,0.8,135,7,45,1
NIFTY,100,220,112.61,22.17,22.89,32.38,35.17,-0.94,6.49,1,41,-0.94,38.76,0.85,-0.36,0.79,135,7,44,2
NIFTY,100,230,113.56,22.02,23.45,32.92,35.18,-0.94,6.49,1,41,-0.94,39.06,0.86,-0.38,0.8,135,7,44,2
NIFTY,100,240,114.26,22.56,23.54,33.38,34.78,-0.94,6.49,1,41,-0.94,39.51,0.86,-0.31,0.8,135,7,45,1
NIFTY,100,250,114.04,22.53,23.67,33.44,34.4,-0.94,6.49,1,41,-0.94,39.29,0.86,-0.31,0.8,135,7,45,1
NIFTY,100,50,113.41,21.16,30.74,28.8,32.71,-2.91,6.49,3,16,-3.11,26.08,1.25,-0.75,0.8,110,32,38,8
NIFTY,100,60,125.59,24.22,32.96,28.12,40.29,-1.33,6.49,2,14,-2.01,16.55,1.16,-0.47,0.88,118,24,43,3
NIFTY,100,70,127.38,24.46,32.15,28.5,42.26,-1.7,6.49,2,18,-1.7,18.44,1.11,-0.49,0.9,123,19,42,4
NIFTY,100,80,125.11,23.52,31.34,29.85,40.39,-1.91,6.49,2,19,-1.91,27.31,1.05,-0.63,0.88,128,14,42,4
NIFTY,100,90,129.61,23.83,31.69,33.22,40.86,-1.47,6.49,2,38,-1.47,30.04,1.02,-0.45,0.91,132,10,44,2
NIFTY,110,100,127.26,21.87,32.58,33.34,39.47,-1.71,6.49,2,53,-1.71,50.65,0.98,-0.43,0.9,134,8,45,1
NIFTY,110,110,126.76,22.59,31.0,33.43,39.73,-0.9,6.49,1,53,-0.9,49.44,0.96,-0.24,0.89,134,8,44,2
