Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,9.68,4.97,7.37,-9.8,7.13,-4.42,3.08,6,10,-9.25,7.43,0.9,-0.87,0.07,73,65,26,20
NIFTY,100,110,10.54,4.55,4.46,-4.36,5.9,-4.42,2.97,7,8,-8.04,5.25,0.93,-0.81,0.08,70,68,25,21
NIFTY,100,120,11.2,6.82,4.9,-4.24,3.72,-4.42,2.76,6,8,-8.15,5.09,0.87,-0.8,0.08,73,65,25,21
NIFTY,100,130,10.78,7.02,4.91,-3.16,2.01,-4.42,2.67,6,8,-7.23,4.78,0.84,-0.8,0.08,74,64,25,21
NIFTY,100,140,7.76,5.67,4.12,-3.3,1.27,-4.42,2.55,4,8,-4.93,4.52,0.8,-0.82,0.06,75,63,25,21
NIFTY,100,150,9.02,4.52,3.98,-1.2,1.71,-4.42,2.38,4,8,-4.97,4.36,0.75,-0.85,0.07,79,59,27,19
NIFTY,100,160,6.79,3.61,3.89,-1.93,1.22,-4.43,2.24,4,8,-4.97,4.19,0.77,-0.86,0.05,77,61,28,18
NIFTY,100,170,2.77,2.31,1.51,-1.5,0.45,-4.46,2.12,4,8,-5.05,6.74,0.76,-0.94,0.02,78,60,26,20
NIFTY,100,180,2.44,3.54,-0.23,-1.91,1.03,-4.7,2.21,6,8,-5.65,6.62,0.78,-0.91,0.02,76,62,26,20
NIFTY,100,190,6.21,2.37,-0.35,0.04,4.15,-4.75,2.17,6,8,-6.53,7.62,0.78,-0.86,0.04,76,62,25,21
NIFTY,100,200,2.99,0.28,-1.62,0.29,4.03,-5.13,2.76,6,11,-7.14,10.73,0.77,-0.93,0.02,77,61,23,23
NIFTY,100,210,5.18,0.21,-0.91,1.09,4.79,-4.89,3.03,6,11,-7.53,11.25,0.8,-0.95,0.04,78,60,24,22
NIFTY,100,220,4.74,0.67,-0.77,1.38,3.47,-5.27,3.03,7,11,-8.01,11.01,0.81,-0.97,0.03,78,60,26,20
NIFTY,100,230,6.62,2.14,0.01,1.63,2.83,-4.82,3.03,7,11,-7.53,10.98,0.83,-0.99,0.05,79,59,27,19
NIFTY,100,240,7.13,1.62,0.8,1.34,3.37,-5.2,3.03,7,11,-7.14,11.21,0.85,-0.99,0.05,78,60,26,20
NIFTY,100,250,5.3,1.27,0.29,1.52,2.22,-5.65,3.03,7,11,-7.25,10.9,0.85,-1.02,0.04,78,60,26,20
NIFTY,100,50,-0.31,0.24,11.36,-14.26,2.35,-3.63,3.9,8,9,-11.43,9.46,1.24,-1.21,-0.0,68,70,21,25
NIFTY,100,60,-0.65,1.73,8.63,-16.16,5.15,-3.78,3.71,7,8,-10.86,7.29,1.2,-1.14,-0.0,67,71,21,25
NIFTY,100,70,8.03,2.35,13.5,-15.41,7.59,-2.45,3.59,7,9,-10.09,7.75,1.02,-1.09,0.06,75,63,28,18
NIFTY,100,80,7.86,2.82,11.03,-13.69,7.7,-2.58,3.41,7,9,-9.78,6.91,0.97,-1.0,0.06,74,64,27,19
NIFTY,100,90,10.37,5.31,9.41,-12.25,7.91,-4.22,3.21,6,7,-9.53,5.12,0.89,-0.95,0.08,77,61,27,19
NIFTY,110,100,-1.1,2.68,4.9,-13.61,4.93,-4.51,3.08,6,10,-9.89,7.42,0.96,-0.89,-0.01,66,72,24,22
NIFTY,110,110,-0.24,2.25,1.98,-8.18,3.7,-4.51,2.97,7,10,-8.68,6.72,0.97,-0.84,-0.0,64,74,24,22
NIFTY,110,120,0.42,4.52,2.43,-8.05,1.53,-4.51,2.76,6,10,-8.79,6.18,0.88,-0.85,0.0,68,70,24,22
NIFTY,110,130,0.0,4.72,2.44,-6.98,-0.18,-4.51,2.67,6,11,-7.88,5.88,0.85,-0.85,0.0,69,69,22,24
NIFTY,110,140,-3.02,3.37,1.65,-7.12,-0.93,-4.51,2.55,4,8,-5.57,4.09,0.8,-0.87,-0.02,70,68,24,22
NIFTY,110,150,-1.76,2.23,1.51,-5.01,-0.49,-4.51,2.38,4,8,-5.6,3.93,0.76,-0.86,-0.01,72,66,23,23
NIFTY,110,160,-3.99,1.31,1.42,-5.74,-0.98,-4.51,2.24,4,8,-5.6,3.77,0.78,-0.88,-0.03,71,67,23,23
NIFTY,110,170,-8.01,0.01,-0.96,-5.32,-1.74,-4.55,2.12,4,8,-5.63,5.75,0.75,-0.96,-0.06,73,65,23,23
NIFTY,110,180,-8.34,1.24,-2.7,-5.73,-1.16,-4.79,2.06,6,8,-6.09,5.68,0.75,-0.95,-0.06,72,66,23,23
NIFTY,110,190,-4.57,0.07,-2.82,-3.77,1.95,-4.83,2.0,6,8,-6.98,7.15,0.76,-0.87,-0.03,71,67,22,24
NIFTY,110,200,-7.79,-2.02,-4.09,-3.52,1.84,-5.22,2.59,6,8,-7.59,8.32,0.76,-0.93,-0.06,71,67,21,25
NIFTY,110,210,-5.6,-2.09,-3.38,-2.73,2.6,-4.98,2.86,7,6,-7.97,8.47,0.8,-0.93,-0.04,71,67,22,24
NIFTY,110,220,-6.04,-1.63,-3.24,-2.43,1.27,-5.35,2.86,7,6,-8.46,8.22,0.8,-0.96,-0.04,72,66,22,24
NIFTY,110,230,-4.16,-0.16,-2.46,-2.19,0.64,-4.99,2.86,7,6,-7.97,8.2,0.81,-0.98,-0.03,73,65,24,22
NIFTY,110,240,-3.66,-0.67,-1.67,-2.48,1.17,-5.37,2.86,7,6,-7.58,8.43,0.84,-0.97,-0.03,72,66,24,22
NIFTY,110,250,-5.48,-1.03,-2.18,-2.29,0.03,-5.82,2.86,7,6,-7.69,8.12,0.84,-1.0,-0.04,72,66,24,22
NIFTY,110,50,-11.09,-2.06,8.89,-18.07,0.16,-3.84,3.9,8,4,-12.53,6.86,1.36,-1.19,-0.08,60,78,21,25
NIFTY,110,60,-11.43,-0.57,6.16,-19.98,2.96,-3.99,3.71,7,4,-11.71,6.55,1.25,-1.17,-0.08,62,76,19,27
