Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,4.27,2.83,4.46,-4.2,1.19,-2.73,2.54,5,6,-4.34,3.18,0.42,-0.5,0.03,81,60,28,18
NIFTY,100,110,5.07,2.05,3.05,-0.86,0.83,-2.74,2.43,4,6,-4.34,3.06,0.4,-0.5,0.04,84,57,26,20
NIFTY,100,120,1.25,0.76,1.6,-1.06,-0.06,-2.96,2.23,4,4,-4.56,2.94,0.41,-0.48,0.01,78,63,24,22
NIFTY,100,130,-0.43,0.82,0.39,-0.82,-0.81,-3.06,2.13,4,4,-4.67,2.82,0.38,-0.51,-0.0,80,61,25,21
NIFTY,100,140,-1.75,0.46,-0.44,-0.35,-1.42,-3.55,2.01,4,4,-5.16,2.78,0.37,-0.53,-0.01,81,60,24,22
NIFTY,100,150,-2.47,0.25,-1.07,-0.62,-1.04,-3.55,1.84,4,4,-5.16,2.65,0.37,-0.53,-0.02,80,61,23,23
NIFTY,100,160,-2.98,0.13,-1.48,-0.81,-0.82,-3.4,1.71,4,4,-5.0,2.53,0.37,-0.52,-0.02,79,62,23,23
NIFTY,100,170,-3.4,0.16,-1.63,-1.17,-0.76,-3.75,1.58,4,7,-5.36,3.18,0.37,-0.51,-0.02,78,63,25,21
NIFTY,100,180,-3.24,0.29,-1.3,-1.3,-0.93,-3.94,1.52,4,7,-5.55,3.63,0.37,-0.54,-0.02,80,61,23,23
NIFTY,100,190,-3.63,0.18,-1.39,-1.06,-1.36,-4.03,1.32,4,7,-5.63,3.39,0.37,-0.53,-0.03,79,62,24,22
NIFTY,100,200,-4.87,-0.46,-1.55,-1.07,-1.79,-4.41,1.24,4,7,-6.01,3.68,0.37,-0.56,-0.03,80,61,24,22
NIFTY,100,210,-4.75,-0.81,-1.22,-0.84,-1.88,-4.53,1.14,4,7,-6.14,3.74,0.37,-0.55,-0.03,79,62,25,21
NIFTY,100,220,-5.72,-1.2,-1.19,-0.88,-2.44,-4.67,1.14,4,7,-6.28,3.51,0.37,-0.55,-0.04,78,63,25,21
NIFTY,100,230,-4.36,0.11,-1.18,-0.69,-2.59,-4.81,1.14,4,7,-6.42,3.5,0.36,-0.53,-0.03,79,62,26,20
NIFTY,100,240,-4.68,0.27,-1.37,-0.69,-2.89,-4.98,1.14,4,7,-6.59,3.39,0.36,-0.53,-0.03,79,62,26,20
NIFTY,100,250,-5.1,0.18,-1.4,-0.62,-3.25,-4.98,1.14,4,7,-6.59,3.08,0.36,-0.54,-0.04,79,62,25,21
NIFTY,100,50,4.55,2.19,8.37,-4.52,-1.49,-3.63,3.36,8,6,-6.11,5.62,0.7,-0.69,0.03,73,68,21,25
NIFTY,100,60,-0.57,2.01,6.4,-7.18,-1.8,-3.78,3.18,7,6,-6.35,4.93,0.61,-0.7,-0.0,75,66,24,22
NIFTY,100,70,1.91,1.02,8.29,-6.51,-0.9,-2.38,3.05,6,6,-4.68,4.4,0.52,-0.69,0.01,82,59,23,23
NIFTY,100,80,1.97,0.49,6.25,-4.83,0.06,-2.46,2.87,4,6,-4.03,3.93,0.46,-0.62,0.01,83,58,25,21
NIFTY,100,90,4.05,3.18,4.98,-5.39,1.27,-2.47,2.67,5,6,-4.58,3.66,0.44,-0.51,0.03,80,61,26,20
NIFTY,110,100,0.92,2.2,4.1,-5.1,-0.29,-2.9,2.54,5,6,-4.72,3.18,0.42,-0.53,0.01,80,61,27,19
NIFTY,110,110,1.72,1.42,2.7,-1.76,-0.64,-2.9,2.43,4,6,-4.72,3.06,0.39,-0.54,0.01,84,57,25,21
NIFTY,110,120,-2.11,0.13,1.25,-1.96,-1.53,-3.12,2.23,4,4,-4.94,2.94,0.4,-0.52,-0.01,78,63,24,22
