Underlying,Call TSL,Put TSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,15.17,-2.62,1.76,-0.65,16.68,-2.69,6.11,6,7,-4.97,7.19,0.77,-0.8,0.08,110,87,23,23
NIFTY,100,110,15.55,-0.86,1.78,-2.7,17.33,-2.52,6.02,6,6,-5.6,7.59,0.78,-0.73,0.08,106,91,24,22
NIFTY,100,120,12.86,-0.72,0.69,-4.34,17.23,-2.78,5.89,5,8,-6.11,7.49,0.78,-0.75,0.07,105,92,21,25
NIFTY,100,130,6.29,-2.49,-0.97,-4.95,14.7,-2.91,5.77,5,8,-6.27,7.2,0.77,-0.77,0.03,103,94,21,25
NIFTY,100,140,6.53,-2.15,-1.32,-5.97,15.96,-2.91,5.59,5,8,-4.97,6.89,0.73,-0.79,0.03,107,90,24,22
NIFTY,100,150,6.2,0.03,-1.46,-5.27,12.91,-2.91,5.57,5,8,-4.97,6.85,0.72,-0.83,0.03,110,87,25,21
NIFTY,100,160,5.88,1.14,-2.79,-4.08,11.61,-2.91,5.36,6,6,-4.88,6.64,0.74,-0.81,0.03,107,90,25,21
NIFTY,100,170,17.0,0.58,3.34,-3.29,16.37,-3.0,5.32,5,6,-3.79,6.59,0.75,-0.8,0.09,113,84,29,17
NIFTY,100,180,23.21,0.63,8.38,-2.49,16.69,-3.0,5.05,5,9,-3.47,7.26,0.77,-0.82,0.12,116,81,28,18
NIFTY,100,190,25.34,1.39,9.63,-2.37,16.69,-2.24,4.99,5,9,-3.47,8.22,0.79,-0.8,0.13,115,82,28,18
NIFTY,100,200,31.64,2.04,11.29,0.36,17.96,-2.38,4.87,5,9,-3.29,8.77,0.81,-0.81,0.16,118,79,27,19
NIFTY,100,210,30.82,1.5,11.46,0.3,17.57,-2.44,4.89,6,9,-3.31,9.21,0.82,-0.81,0.16,117,80,27,19
NIFTY,100,220,32.33,1.17,11.0,2.57,17.59,-2.44,4.89,6,9,-3.36,9.21,0.83,-0.8,0.16,117,80,27,19
NIFTY,100,230,31.48,0.56,10.98,2.96,16.97,-2.45,4.89,6,10,-3.24,9.32,0.81,-0.83,0.16,119,78,27,19
NIFTY,100,240,29.96,0.51,10.48,2.74,16.23,-2.58,4.89,6,10,-3.37,9.31,0.81,-0.84,0.15,118,79,27,19
NIFTY,100,250,29.3,0.3,10.31,3.26,15.43,-2.6,4.89,6,10,-3.37,9.45,0.82,-0.84,0.15,117,80,27,19
NIFTY,100,50,5.09,-4.89,-0.03,-7.84,17.85,-3.64,6.76,6,6,-8.18,10.41,1.09,-1.16,0.03,104,93,21,25
NIFTY,100,60,5.66,-6.58,0.89,-9.45,20.8,-3.72,6.69,7,6,-8.66,9.86,1.02,-1.04,0.03,102,95,23,23
NIFTY,100,70,17.2,-5.52,5.38,-4.0,21.34,-3.72,6.5,9,8,-6.85,8.57,0.93,-0.95,0.09,109,88,24,22
NIFTY,100,80,17.43,-4.68,3.97,-2.25,20.38,-2.62,6.42,9,7,-5.7,8.05,0.91,-0.87,0.09,106,91,22,24
NIFTY,100,90,18.0,-2.74,2.01,-0.67,19.4,-2.45,6.3,10,7,-6.39,7.57,0.83,-0.82,0.09,109,88,24,22
NIFTY,110,100,17.61,-3.15,2.58,-0.3,18.48,-3.18,6.11,6,8,-5.07,8.0,0.81,-0.82,0.09,110,87,22,24
NIFTY,110,110,18.0,-1.38,2.6,-2.35,19.13,-2.54,6.02,5,7,-5.17,7.59,0.78,-0.76,0.09,109,88,24,22
NIFTY,110,120,15.3,-1.24,1.52,-4.0,19.03,-2.68,5.89,5,7,-5.29,7.49,0.77,-0.79,0.08,110,87,23,23
NIFTY,110,130,8.73,-3.01,-0.14,-4.6,16.49,-3.09,5.77,5,7,-5.45,7.2,0.76,-0.79,0.04,106,91,23,23
NIFTY,110,140,8.97,-2.68,-0.49,-5.63,17.76,-2.7,5.59,5,9,-5.38,8.61,0.71,-0.83,0.05,112,85,25,21
NIFTY,110,150,8.64,-0.5,-0.63,-4.93,14.71,-2.91,5.57,5,9,-5.53,7.8,0.68,-0.87,0.04,116,81,26,20
NIFTY,110,160,8.32,0.62,-1.96,-3.74,13.4,-3.01,5.36,5,7,-4.93,6.64,0.71,-0.81,0.04,110,87,27,19
NIFTY,110,170,19.44,0.06,4.17,-2.95,18.17,-3.15,5.32,5,8,-4.32,6.59,0.71,-0.81,0.1,118,79,29,17
NIFTY,110,180,25.65,0.11,9.2,-2.15,18.49,-3.15,5.05,5,8,-4.01,6.32,0.73,-0.81,0.13,120,77,30,16
NIFTY,110,190,27.78,0.86,10.46,-2.03,18.48,-2.56,4.99,5,8,-4.01,6.27,0.75,-0.79,0.14,119,78,30,16
NIFTY,110,200,34.08,1.51,12.11,0.7,19.76,-2.69,4.87,5,12,-3.83,10.01,0.77,-0.79,0.17,122,75,30,16
NIFTY,110,210,33.27,0.98,12.28,0.64,19.37,-2.75,4.78,6,12,-3.85,10.45,0.77,-0.79,0.17,121,76,29,17
NIFTY,110,220,34.77,0.64,11.83,2.92,19.39,-2.75,4.7,6,12,-3.75,10.45,0.78,-0.79,0.18,121,76,29,17
NIFTY,110,230,33.92,0.04,11.81,3.3,18.77,-2.77,4.7,6,12,-3.72,10.55,0.77,-0.82,0.17,123,74,29,17
NIFTY,110,240,32.4,-0.02,11.31,3.08,18.03,-2.89,4.7,6,12,-3.72,10.55,0.77,-0.82,0.16,122,75,29,17
NIFTY,110,250,31.75,-0.23,11.14,3.6,17.23,-2.92,4.7,6,12,-3.72,10.55,0.78,-0.82,0.16,121,76,29,17
NIFTY,110,50,7.53,-5.42,0.79,-7.49,19.65,-3.85,6.76,6,6,-8.93,10.84,1.12,-1.2,0.04,105,92,21,25
NIFTY,110,60,8.1,-7.1,1.71,-9.1,22.59,-3.94,6.69,7,6,-7.78,10.45,1.06,-1.08,0.04,103,94,24,22
NIFTY,110,70,19.65,-6.04,6.2,-3.65,23.14,-3.94,6.5,9,8,-6.65,9.99,0.99,-0.96,0.1,107,90,25,21
NIFTY,110,80,19.87,-5.2,4.8,-1.9,22.18,-2.98,6.42,9,8,-7.03,9.62,0.95,-0.9,0.1,107,90,22,24
NIFTY,110,90,20.44,-3.26,2.83,-0.33,21.2,-2.94,6.3,10,8,-5.64,8.74,0.86,-0.83,0.1,109,88,24,22
NIFTY,120,100,16.7,0.08,0.33,-0.91,17.2,-3.54,6.11,6,8,-5.01,8.07,0.82,-0.8,0.08,108,89,23,23
NIFTY,120,110,17.09,1.85,0.34,-2.96,17.85,-2.64,6.02,6,7,-5.47,7.59,0.8,-0.74,0.09,106,91,25,21
NIFTY,120,120,14.39,1.99,-0.74,-4.61,17.76,-2.83,5.89,5,6,-4.9,7.49,0.78,-0.78,0.07,108,89,24,22
NIFTY,120,130,7.82,0.22,-2.4,-5.22,15.22,-3.19,5.77,5,6,-5.17,7.2,0.77,-0.78,0.04,104,93,23,23
NIFTY,120,140,8.06,0.56,-2.75,-6.24,16.49,-2.85,5.59,5,9,-5.32,8.41,0.71,-0.81,0.04,110,87,24,22
NIFTY,120,150,7.74,2.73,-2.89,-5.54,13.44,-3.05,5.57,5,9,-5.46,7.6,0.68,-0.85,0.04,114,83,27,19
NIFTY,120,160,7.41,3.85,-4.22,-4.35,12.13,-3.15,5.36,5,6,-4.96,6.64,0.7,-0.8,0.04,110,87,27,19
NIFTY,120,170,18.54,3.29,1.91,-3.56,16.9,-2.82,5.32,5,8,-4.83,6.59,0.71,-0.77,0.09,115,82,29,17
NIFTY,120,180,24.74,3.34,6.94,-2.76,17.22,-2.82,5.05,5,8,-4.52,6.32,0.72,-0.77,0.13,118,79,30,16
NIFTY,120,190,26.87,4.1,8.2,-2.64,17.21,-2.82,4.99,5,8,-4.52,6.27,0.74,-0.75,0.14,117,80,30,16
NIFTY,120,200,33.17,4.75,9.85,0.09,18.49,-2.95,4.87,5,12,-4.34,8.77,0.76,-0.74,0.17,119,78,31,15
NIFTY,120,210,32.36,4.21,10.03,0.03,18.09,-3.01,4.78,6,12,-4.35,9.2,0.77,-0.74,0.16,118,79,30,16
NIFTY,120,220,33.86,3.87,9.57,2.3,18.12,-3.01,4.54,6,12,-4.25,9.2,0.77,-0.74,0.17,119,78,30,16
NIFTY,120,230,33.01,3.27,9.55,2.69,17.5,-3.03,4.54,6,12,-4.23,9.31,0.76,-0.77,0.17,121,76,30,16
NIFTY,120,240,31.49,3.22,9.05,2.47,16.76,-3.15,4.5,6,12,-4.23,9.31,0.75,-0.78,0.16,121,76,30,16
NIFTY,120,250,30.84,3.01,8.88,2.99,15.96,-3.18,4.5,6,12,-4.23,9.52,0.76,-0.79,0.16,120,77,30,16
NIFTY,120,50,6.62,-2.18,-1.47,-8.11,18.38,-4.12,6.76,6,6,-9.24,10.91,1.11,-1.23,0.03,106,91,24,22
NIFTY,120,60,7.19,-3.87,-0.54,-9.71,21.32,-4.21,6.69,7,6,-6.7,10.52,1.08,-1.06,0.04,101,96,23,23
NIFTY,120,70,18.74,-2.81,3.95,-4.27,21.87,-4.21,6.5,9,8,-6.11,10.06,0.98,-0.96,0.1,107,90,23,23
NIFTY,120,80,18.96,-1.97,2.54,-2.52,20.91,-3.33,6.42,9,8,-6.32,9.69,0.93,-0.92,0.1,108,89,23,23
NIFTY,120,90,19.53,-0.03,0.57,-0.94,19.93,-3.3,6.3,10,8,-5.57,8.81,0.84,-0.86,0.1,111,86,23,23
NIFTY,130,100,15.73,-1.61,-0.55,2.01,15.88,-3.48,6.11,6,8,-5.8,8.07,0.82,-0.78,0.08,106,91,23,23
NIFTY,130,110,16.11,0.15,-0.53,-0.04,16.53,-2.82,6.02,6,7,-6.36,7.59,0.81,-0.7,0.08,102,95,25,21
NIFTY,130,120,13.42,0.29,-1.62,-1.69,16.43,-2.95,5.89,8,6,-4.9,7.49,0.79,-0.74,0.07,104,93,25,21
NIFTY,130,130,6.85,-1.48,-3.28,-2.29,13.9,-3.37,5.77,8,6,-5.05,7.2,0.78,-0.75,0.03,101,96,25,21
NIFTY,130,140,7.08,-1.14,-3.62,-3.32,15.16,-2.97,5.59,5,8,-4.57,6.89,0.73,-0.75,0.04,105,92,24,22
NIFTY,130,150,6.76,1.03,-3.77,-2.62,12.11,-3.17,5.57,5,9,-4.67,7.33,0.69,-0.78,0.03,109,88,26,20
NIFTY,130,160,6.44,2.15,-5.1,-1.42,10.81,-3.28,5.36,5,5,-5.09,6.64,0.7,-0.75,0.03,106,91,28,18
