Underlying,Call HSL,Put HSL,Total Return,2021 Return,2022 Return,2023 Return,2024 Return,Max Drawdown %,Max Profit %,Consecutive Drawdown in Number,Consecutive Profit in Number,Consecutive Drawdown in %,Consecutive Profit iin %,Win Avg,Loss Avg,Total Avg,Win Count,Loss Count,No of Positive Months,No of Negative Months
NIFTY,100,100,128.25,58.85,26.81,31.61,10.99,-2.66,42.88,1,41,-2.66,45.14,1.16,-0.93,1.01,118,9,37,5
NIFTY,100,110,125.99,58.53,25.29,30.99,11.18,-2.66,42.88,1,41,-2.66,45.01,1.14,-0.88,0.99,118,9,37,5
NIFTY,100,120,124.73,58.08,24.64,31.15,10.86,-2.66,42.88,1,41,-2.66,44.79,1.12,-0.88,0.98,118,9,37,5
NIFTY,100,130,122.77,57.82,23.26,31.18,10.52,-2.66,42.88,2,41,-2.66,43.91,1.13,-0.75,0.97,116,11,36,6
NIFTY,100,140,122.65,58.92,22.36,31.24,10.14,-2.66,42.88,2,41,-2.66,43.91,1.12,-0.65,0.97,116,11,37,5
NIFTY,100,150,121.91,58.72,21.29,31.31,10.59,-2.66,42.88,1,41,-2.66,43.91,1.1,-0.69,0.96,117,10,38,4
NIFTY,100,160,121.78,59.7,20.29,31.13,10.67,-2.66,42.88,1,41,-2.66,44.91,1.07,-0.76,0.96,119,8,38,4
NIFTY,100,170,120.95,59.46,19.77,30.82,10.9,-2.66,42.88,1,41,-2.66,44.9,1.07,-0.76,0.95,119,8,38,4
NIFTY,100,180,120.65,59.7,19.6,30.65,10.7,-2.66,42.88,1,41,-2.66,45.11,1.07,-0.76,0.95,119,8,38,4
NIFTY,100,190,120.62,59.73,20.19,30.22,10.47,-2.66,42.88,1,41,-2.66,45.16,1.06,-0.76,0.95,119,8,38,4
NIFTY,100,200,120.66,59.72,20.45,30.14,10.35,-2.66,42.88,1,41,-2.66,45.16,1.07,-0.76,0.95,119,8,38,4
NIFTY,100,50,116.54,54.91,28.15,24.81,8.67,-3.31,42.88,2,19,-3.53,46.53,1.32,-1.21,0.92,107,20,33,9
NIFTY,100,60,119.35,53.25,28.27,27.97,9.86,-3.31,42.88,1,19,-3.31,46.08,1.28,-1.27,0.94,110,17,35,7
NIFTY,100,70,128.77,59.14,30.12,30.1,9.41,-3.31,42.88,1,19,-3.31,45.49,1.22,-1.2,1.01,116,11,37,5
NIFTY,100,80,129.88,58.94,29.21,32.81,8.92,-3.39,42.88,1,41,-3.39,45.32,1.19,-1.19,1.02,118,9,37,5
NIFTY,100,90,129.69,58.89,28.17,32.27,10.35,-2.66,42.88,1,41,-2.66,45.11,1.18,-1.02,1.02,118,9,37,5
NIFTY,110,100,126.1,58.12,26.62,30.9,10.46,-2.97,42.88,1,41,-2.97,45.02,1.15,-0.87,0.99,117,10,37,5
NIFTY,110,110,123.84,57.8,25.1,30.28,10.65,-2.97,42.88,1,41,-2.97,44.88,1.13,-0.83,0.98,117,10,37,5
NIFTY,110,120,122.57,57.35,24.45,30.45,10.33,-2.97,42.88,1,41,-2.97,44.66,1.12,-0.83,0.97,117,10,37,5
NIFTY,110,130,120.62,57.09,23.07,30.47,9.99,-2.97,42.88,2,41,-2.97,43.91,1.12,-0.71,0.95,115,12,36,6
NIFTY,110,140,120.5,58.19,22.17,30.53,9.61,-2.97,42.88,2,41,-2.97,43.91,1.11,-0.62,0.95,115,12,37,5
NIFTY,110,150,119.76,57.99,21.1,30.6,10.06,-2.97,42.88,1,41,-2.97,43.91,1.09,-0.65,0.94,116,11,38,4
NIFTY,110,160,119.63,58.96,20.1,30.42,10.14,-2.97,42.88,1,41,-2.97,44.78,1.07,-0.71,0.94,118,9,38,4
NIFTY,110,170,118.8,58.73,19.58,30.12,10.37,-2.97,42.88,1,41,-2.97,44.77,1.06,-0.71,0.94,118,9,38,4
NIFTY,110,180,118.49,58.97,19.41,29.94,10.17,-2.97,42.88,1,41,-2.97,44.98,1.06,-0.71,0.93,118,9,38,4
NIFTY,110,190,118.46,59.0,20.0,29.52,9.94,-2.97,42.88,1,41,-2.97,45.04,1.06,-0.71,0.93,118,9,38,4
NIFTY,110,200,118.5,58.99,20.26,29.43,9.82,-2.97,42.88,1,41,-2.97,45.04,1.06,-0.71,0.93,118,9,38,4
NIFTY,110,50,114.39,54.18,27.96,24.11,8.14,-3.31,42.88,2,19,-3.53,46.4,1.31,-1.17,0.9,106,21,33,9
NIFTY,110,60,117.2,52.52,28.08,27.26,9.33,-3.31,42.88,1,19,-3.31,45.95,1.28,-1.22,0.92,109,18,35,7
NIFTY,110,70,126.61,58.4,29.93,29.39,8.88,-3.31,42.88,1,19,-3.31,45.36,1.22,-1.13,1.0,115,12,37,5
NIFTY,110,80,127.73,58.21,29.02,32.1,8.39,-3.39,42.88,1,41,-3.39,45.19,1.19,-1.1,1.01,117,10,37,5
NIFTY,110,90,127.54,58.16,27.98,31.57,9.83,-2.97,42.88,1,41,-2.97,44.98,1.17,-0.95,1.0,117,10,37,5
NIFTY,120,100,126.06,59.47,26.18,30.38,10.03,-2.4,42.88,1,41,-2.4,44.92,1.14,-0.75,0.99,117,10,37,5
NIFTY,120,110,123.8,59.15,24.66,29.76,10.22,-2.4,42.88,1,41,-2.4,44.78,1.12,-0.71,0.97,117,10,37,5
NIFTY,120,120,122.54,58.71,24.0,29.93,9.9,-2.4,42.88,1,41,-2.4,44.56,1.11,-0.71,0.96,117,10,37,5
NIFTY,120,130,120.58,58.44,22.63,29.95,9.56,-2.4,42.88,2,41,-2.4,43.91,1.11,-0.61,0.95,115,12,36,6
NIFTY,120,140,120.46,59.55,21.73,30.01,9.18,-2.4,42.88,2,41,-2.4,43.91,1.1,-0.52,0.95,115,12,37,5
NIFTY,120,150,119.72,59.35,20.66,30.08,9.63,-2.4,42.88,1,41,-2.4,43.91,1.08,-0.54,0.94,116,11,38,4
NIFTY,120,160,119.59,60.32,19.66,29.9,9.71,-2.4,42.88,1,41,-2.4,44.69,1.06,-0.58,0.94,118,9,38,4
